total games = 1000
initial weights =  [0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45]
initial mu =  0.01
every 250 games mu change 0.2

[-0.03570491202879832, -0.03570491202879832, 0.04469424617325355, 0.09031356093493356, 0.09927541034883865, 0.24250595219585855, 0.15740776846969495, 0.2167879258700423, 0.21016534298092499]
[-0.05364146562547708, -0.05364146562547708, 0.04508786576096568, 0.08167048706021554, 0.07262687343028565, 0.2580725468152895, 0.14119283371109917, 0.20426438485019188, 0.19637632004628738]
[-0.09043824768182673, -0.09043824768182673, 0.04263218507913139, 0.08297074037540557, 0.05158007084269082, 0.2466694093688372, 0.11057593376566927, 0.195568930247415, 0.1838861231268384]
[-0.04072408823351163, -0.04072408823351163, 0.04307603909703398, 0.09617326117695754, 0.090653518993957, 0.2454636699282814, 0.11170800198411333, 0.21407459917322674, 0.1876194493878138]
[-0.009287396640449787, -0.009287396640449787, 0.042900049932034647, 0.09395551935116483, 0.11829673257987405, 0.2476547271452257, 0.11573040725112019, 0.21502616776158825, 0.19394720578466043]
[0.0157524742081411, 0.0157524742081411, 0.0480936747008495, 0.10034125852509163, 0.11545337398384296, 0.2658589159115436, 0.12396206153358577, 0.22255390722893567, 0.19574765463772748]
[-0.01315277280093378, -0.01315277280093378, 0.05965824407986255, 0.11035831906986898, 0.0959940873735256, 0.25199326815647194, 0.11552156895691723, 0.22552232420985904, 0.18440952171840597]
[0.019707645482268128, 0.019707645482268128, 0.05965824407986255, 0.12794803693488915, 0.10335371492583813, 0.2577118611556465, 0.12483400716484656, 0.2345907183915844, 0.18440952171840597]
[0.0503677547831361, 0.0503677547831361, 0.07320521049829713, 0.14371758111934213, 0.11475740277104557, 0.2694337135614467, 0.12807545669955045, 0.23917084758347318, 0.18377499563142746]
[0.03690382497623198, 0.03690382497623198, 0.06723788366447432, 0.14344244371144496, 0.10414539919736009, 0.2729843981360178, 0.1297691890835128, 0.23480302769904163, 0.1865391478762061]
[0.06092650368268903, 0.06092650368268903, 0.0783342341323634, 0.1538853398574913, 0.11241746127664246, 0.2816454120266797, 0.12956038527762237, 0.2347050790352235, 0.18746494900919167]
[0.08741646747331326, 0.08741646747331326, 0.08953255446173118, 0.16838731478101726, 0.12133066618059805, 0.2920544004253329, 0.13205898518206766, 0.2386524119028283, 0.18746494900919167]
[0.10071984452154516, 0.10071984452154516, 0.09722501270189948, 0.17607977302118555, 0.12576512519667535, 0.29648885944141024, 0.13323544497405396, 0.2386524119028283, 0.18746494900919167]
[0.034775917681987505, 0.034775917681987505, 0.07868074111238364, 0.15409846407466632, 0.10378381625015613, 0.29648885944141024, 0.10889921941675189, 0.20603304666882954, 0.16548364006267244]
