total games = 1000
initial weights =  [0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45]
initial mu =  0.01
every 250 games mu change 0.3

[0.0034350813753665005, 0.0034350813753665005, 0.0020494271398820377, -0.04728566534937973, 0.2860278528897269, 0.4169247667570098, 0.278680458431601, 0.25980869721514516, 0.2995771709223265]
[0.03056682197111704, 0.03056682197111704, 0.005788514641780341, -0.045671490145278264, 0.2860278528897269, 0.43640268007967153, 0.2800917629362935, 0.26396990275034304, 0.3033256804700472]
[-0.10216047904435185, -0.10216047904435185, -0.03889916897046678, -0.09000294560077496, 0.285856437343755, 0.39197543379706984, 0.236065549968345, 0.24741885512746695, 0.27331464543422973]
[-0.04689627134364302, -0.04689627134364302, -0.03889916897046678, -0.08756117867371149, 0.28676014561738356, 0.4267134887066182, 0.2358838426027978, 0.2506089595479395, 0.274163974900253]
[-0.1424883976128879, -0.1424883976128879, -0.03821140233967213, -0.08756117867371149, 0.2823999609312086, 0.3607900925086091, 0.22978752893871562, 0.2182039144735429, 0.2646299558548032]
[-0.08064972112837802, -0.08064972112837802, -0.03681936140752426, -0.0852368848283912, 0.2823999609312086, 0.3895675498886303, 0.23661199778965372, 0.22407490264313057, 0.26260432772939996]
[-0.04649064151882218, -0.04649064151882218, -0.03681936140752426, -0.0852368848283912, 0.2823999609312086, 0.41604967717253355, 0.2383699934888696, 0.22823586357035136, 0.26260432772939996]
[-0.019366323402138754, -0.019366323402138754, -0.03279442542786559, -0.0852368848283912, 0.2823999609312086, 0.43914905930955833, 0.2383699934888696, 0.22823586357035136, 0.26260432772939996]
[0.014707849669480173, 0.014707849669480173, -0.03002468873567443, -0.0852368848283912, 0.2823999609312086, 0.4617565676028654, 0.24062742555372776, 0.2317921824571001, 0.2650640655110804]
[-0.04868279519371486, -0.04868279519371486, -0.028872282838823496, -0.08552868716731893, 0.2823999609312086, 0.4265421248032584, 0.2159870965016568, 0.20733793166186534, 0.2541241076427017]
[-0.026728041873653074, -0.026728041873653074, -0.028872282838823496, -0.08552868716731893, 0.2823999609312086, 0.4452064016662418, 0.2159870965016568, 0.20733793166186534, 0.261442358749389]
[-0.0027545402734544056, -0.0027545402734544056, -0.028872282838823496, -0.08552868716731893, 0.2823999609312086, 0.4653691999543785, 0.21652753117138737, 0.2095024797639449, 0.2630885139593714]
[-0.0005141121561556762, -0.0005141121561556762, -0.028872282838823496, -0.08662344144604472, 0.2819495589807539, 0.47052086412934585, 0.21288692868013845, 0.20528308529149403, 0.2693819605688032]
[-0.11046878840501134, -0.11046878840501134, -0.030636347635928148, -0.09238429823848768, 0.281022565052741, 0.4243060781597825, 0.1727937794259723, 0.17913746710625353, 0.2550932198511616]
[-0.06997388533985129, -0.06997388533985129, -0.02880879005879122, -0.09160526091570828, 0.28126417511927326, 0.45150140392078114, 0.17078871387116845, 0.18897432131986155, 0.25642140694253124]
[-0.11779906230229867, -0.11779906230229867, -0.02880879005879122, -0.08930928419846654, 0.279204923260709, 0.42138797222679975, 0.1540495768033435, 0.16779051733981876, 0.24858720687354108]
[-0.05470794906096965, -0.05470794906096965, -0.02831608712419129, -0.08930928419846654, 0.2825806197679449, 0.45754225930006187, 0.15820395109848137, 0.16925143120034325, 0.252165485262055]
[-0.028244939161263156, -0.028244939161263156, -0.025627616853138895, -0.0845946045768842, 0.28280622847183995, 0.47871759252125484, 0.16661773202902094, 0.17022455907548265, 0.25186273678798826]
[-0.056979960182885876, -0.056979960182885876, -0.025627616853138895, -0.0845946045768842, 0.28280622847183995, 0.459560911840173, 0.14630095702283588, 0.1660154360677638, 0.24765361378026943]
[-0.04440506314175565, -0.04440506314175565, -0.026888633454448356, -0.08679479201886875, 0.28280622847183995, 0.47107182952126697, 0.1477632789702109, 0.16548351073894296, 0.25059196120730165]
[0.011535860547255526, 0.011535860547255526, -0.025334888050485962, -0.08478024384077677, 0.28386874451109867, 0.5024226993449009, 0.14815751507932143, 0.16634729766006312, 0.2565915608796823]
[-0.03465987966166698, -0.03465987966166698, -0.03545825903533878, -0.09319616483596341, 0.28340558938397564, 0.4744197819010826, 0.133827699770546, 0.1631297273767414, 0.25547935940690997]
[0.010549635119052306, 0.010549635119052306, -0.03237433036865271, -0.09319616483596341, 0.28340558938397564, 0.5008478133980534, 0.13815571139165947, 0.1635920711187947, 0.2574861220845356]
[-0.1242166508741177, -0.1242166508741177, -0.037151831987582436, -0.09352910391953775, 0.28340558938397564, 0.4224440648398465, 0.11327531653933266, 0.10661840044557885, 0.23973753853397872]
